ID,Category,Type,Gender,Season,Occasion,Material,Color,Price Range,Age Group,Sleeve Length,Fit Type,Pattern,Brand
35,Seasonal,Jacket,Unisex,Winter,Travel,Linen,Grey,High,Seniors,Half,Regular Fit,Printed,Adidas
36,Seasonal,Jacket,Unisex,Winter,Travel,Polyester,Black,Low,Kids,Half,Regular Fit,Striped,Nike
37,Seasonal,Raincoat,Unisex,Monsoon,Travel,Nylon,Red,Low,Adults,Half,Loose Fit,Printed,Adidas
38,Western,Jeans,Unisex,Winter,Casual,Nylon,Red,High,Seniors,Half,Loose Fit,Printed,Levi's
39,Seasonal,Hoodie,Unisex,All,Casual,Wool,Blue,Low,Kids,Full,Regular Fit,Solid,Zara
40,Traditional,Lehenga,Women,Monsoon,Wedding,Silk,Blue,Low,Seniors,Half,Loose Fit,Embroidered,Nike
41,Traditional,Lehenga,Women,Winter,Wedding,Linen,Pink,Medium,Teens,Half,Loose Fit,Printed,Levi's
42,Western,T-Shirt,Men,Summer,Casual,Wool,Pink,Low,Teens,Half,Slim Fit,Striped,Local
43,Western,Jeans,Unisex,Winter,Casual,Wool,Grey,High,Kids,Sleeveless,Loose Fit,Printed,Zara
44,Western,Jeans,Unisex,All,Casual,Nylon,Blue,Low,Kids,Full,Regular Fit,Checked,Zara
45,Western,T-Shirt,Men,Monsoon,Casual,Nylon,Red,Low,Kids,Sleeveless,Regular Fit,Striped,Zara
46,Seasonal,Raincoat,Unisex,Winter,Travel,Polyester,Grey,High,Kids,Sleeveless,Regular Fit,Printed,Local
47,Traditional,Saree,Women,Monsoon,Festive,Linen,Pink,Low,Adults,Full,Regular Fit,Embroidered,Adidas
48,Western,Formal Suit,Men,Summer,Party,Cotton,Black,High,Teens,Full,Slim Fit,Printed,Nike
49,Traditional,Lehenga,Women,Monsoon,Wedding,Silk,White,Low,Teens,Full,Loose Fit,Embroidered,FabIndia
50,Seasonal,Jacket,Unisex,All,Travel,Wool,Grey,High,Adults,Full,Regular Fit,Embroidered,FabIndia
51,Seasonal,Raincoat,Unisex,Summer,Travel,Denim,White,Low,Adults,Half,Regular Fit,Checked,Zara
52,Seasonal,Jacket,Unisex,Winter,Travel,Cotton,Green,Low,Seniors,Full,Slim Fit,Checked,Local
53,Western,Shirt,Men,Summer,Office,Cotton,White,Low,Adults,Full,Loose Fit,Striped,H&M
54,Seasonal,Jacket,Unisex,Summer,Travel,Linen,Grey,Medium,Kids,Half,Slim Fit,Printed,FabIndia
55,Seasonal,Hoodie,Unisex,Winter,Casual,Linen,Red,Low,Teens,Full,Loose Fit,Solid,Levi's
56,Seasonal,Hoodie,Unisex,All,Casual,Nylon,Yellow,Medium,Kids,Full,Regular Fit,Checked,Local
57,Western,T-Shirt,Men,Summer,Casual,Polyester,Grey,Medium,Adults,Full,Regular Fit,Solid,Zara
58,Western,Formal Suit,Men,Summer,Party,Denim,Pink,Medium,Adults,Sleeveless,Slim Fit,Solid,Levi's
59,Traditional,Kurti,Women,All,Festive,Nylon,White,High,Adults,Half,Loose Fit,Striped,Zara
60,Traditional,Sherwani,Men,Winter,Festive,Nylon,Yellow,Low,Seniors,Sleeveless,Regular Fit,Checked,Zara
61,Traditional,Saree,Women,All,Festive,Denim,White,High,Seniors,Half,Regular Fit,Checked,H&M
62,Western,T-Shirt,Men,Summer,Casual,Wool,Black,High,Kids,Sleeveless,Loose Fit,Striped,Local
63,Traditional,Lehenga,Women,All,Wedding,Wool,Grey,Low,Seniors,Sleeveless,Slim Fit,Embroidered,Local
64,Traditional,Lehenga,Women,All,Wedding,Polyester,Black,Low,Adults,Full,Slim Fit,Embroidered,H&M
65,Western,Formal Suit,Men,All,Party,Cotton,Grey,Low,Teens,Sleeveless,Regular Fit,Printed,Levi's
66,Western,Shirt,Men,All,Office,Denim,Blue,Medium,Adults,Sleeveless,Slim Fit,Checked,FabIndia
67,Western,Shirt,Men,Winter,Office,Cotton,Pink,Medium,Adults,Sleeveless,Slim Fit,Embroidered,Nike
68,Traditional,Kurta Pajama,Men,Summer,Casual,Linen,Blue,High,Teens,Full,Regular Fit,Checked,Adidas
69,Western,Formal Suit,Men,All,Party,Denim,Green,High,Teens,Half,Slim Fit,Printed,FabIndia
70,Western,Jeans,Unisex,All,Casual,Polyester,White,Low,Seniors,Full,Regular Fit,Striped,Adidas
71,Western,Formal Suit,Men,Monsoon,Party,Wool,Green,Low,Adults,Half,Slim Fit,Embroidered,Levi's
72,Seasonal,Hoodie,Unisex,Winter,Casual,Wool,Pink,Low,Teens,Sleeveless,Loose Fit,Striped,H&M
73,Traditional,Salwar Kameez,Women,Winter,Office,Denim,Red,Medium,Kids,Sleeveless,Regular Fit,Printed,Nike
74,Seasonal,Hoodie,Unisex,Summer,Casual,Nylon,Green,Medium,Adults,Full,Regular Fit,Embroidered,Local
75,Traditional,Sherwani,Men,Winter,Festive,Cotton,Black,High,Adults,Full,Slim Fit,Embroidered,Levi's
76,Traditional,Salwar Kameez,Women,All,Office,Cotton,Green,Low,Kids,Half,Regular Fit,Printed,Levi's
77,Western,Jeans,Unisex,Winter,Casual,Silk,Green,Medium,Kids,Sleeveless,Regular Fit,Embroidered,H&M
78,Western,Jeans,Unisex,All,Casual,Denim,Black,Low,Adults,Full,Loose Fit,Solid,Local
79,Seasonal,Raincoat,Unisex,All,Travel,Denim,Blue,Medium,Seniors,Half,Slim Fit,Checked,Adidas
80,Traditional,Saree,Women,Summer,Festive,Cotton,Green,Medium,Seniors,Sleeveless,Loose Fit,Checked,Nike
81,Seasonal,Hoodie,Unisex,All,Casual,Denim,Black,High,Adults,Full,Regular Fit,Checked,H&M
82,Western,Formal Suit,Men,Monsoon,Party,Wool,Pink,Medium,Kids,Sleeveless,Regular Fit,Printed,Nike
83,Traditional,Saree,Women,Monsoon,Festive,Denim,Blue,Low,Kids,Full,Regular Fit,Printed,Nike
84,Western,Shirt,Men,Monsoon,Office,Denim,Blue,Medium,Seniors,Full,Regular Fit,Checked,Nike
85,Western,Jeans,Unisex,Winter,Casual,Cotton,Grey,High,Kids,Half,Loose Fit,Striped,Zara
86,Traditional,Saree,Women,Summer,Festive,Nylon,Blue,High,Seniors,Full,Slim Fit,Solid,Nike
87,Western,T-Shirt,Men,Monsoon,Casual,Wool,Red,Medium,Teens,Sleeveless,Loose Fit,Printed,Zara
88,Traditional,Sherwani,Men,All,Festive,Nylon,Yellow,Low,Seniors,Half,Loose Fit,Striped,Nike
89,Western,Shirt,Men,All,Office,Linen,Yellow,Medium,Kids,Sleeveless,Regular Fit,Embroidered,FabIndia
90,Traditional,Kurti,Women,Winter,Festive,Wool,Pink,Low,Teens,Sleeveless,Slim Fit,Solid,FabIndia
91,Western,Formal Suit,Men,Winter,Party,Linen,White,Medium,Seniors,Full,Slim Fit,Striped,Zara
92,Traditional,Kurti,Women,All,Festive,Nylon,Yellow,High,Seniors,Half,Slim Fit,Printed,Adidas
93,Traditional,Sherwani,Men,All,Festive,Linen,Grey,Low,Teens,Sleeveless,Slim Fit,Printed,H&M
94,Western,Shirt,Men,Summer,Office,Denim,Pink,Low,Adults,Full,Loose Fit,Solid,Local
95,Traditional,Kurta Pajama,Men,All,Casual,Silk,Blue,High,Teens,Full,Slim Fit,Embroidered,Zara
96,Western,Jeans,Unisex,All,Casual,Cotton,Red,Medium,Teens,Sleeveless,Regular Fit,Printed,Nike
97,Traditional,Sherwani,Men,Monsoon,Festive,Nylon,Black,Low,Seniors,Sleeveless,Slim Fit,Checked,Adidas
98,Traditional,Kurta Pajama,Men,Summer,Casual,Linen,White,Low,Teens,Full,Regular Fit,Striped,Adidas
99,Western,Jeans,Unisex,Winter,Casual,Nylon,Black,Low,Seniors,Half,Loose Fit,Striped,Adidas
100,Western,Shirt,Men,Winter,Office,Silk,Pink,Low,Adults,Full,Loose Fit,Printed,H&M
101,Traditional,Salwar Kameez,Women,Summer,Office,Denim,White,Low,Kids,Full,Slim Fit,Checked,FabIndia
102,Seasonal,Hoodie,Unisex,Monsoon,Casual,Silk,Blue,Medium,Adults,Half,Loose Fit,Checked,Nike
103,Western,Jeans,Unisex,Summer,Casual,Polyester,Pink,Low,Teens,Half,Loose Fit,Embroidered,Nike
104,Traditional,Kurti,Women,Winter,Festive,Polyester,Red,Low,Seniors,Sleeveless,Regular Fit,Checked,Adidas
105,Traditional,Saree,Women,Monsoon,Festive,Nylon,Black,High,Kids,Sleeveless,Regular Fit,Embroidered,Zara
106,Traditional,Kurta Pajama,Men,Winter,Casual,Wool,Yellow,Medium,Kids,Half,Regular Fit,Checked,Nike
107,Western,Jeans,Unisex,Monsoon,Casual,Silk,Blue,High,Teens,Half,Slim Fit,Embroidered,H&M
108,Traditional,Kurta Pajama,Men,Summer,Casual,Polyester,Green,Medium,Kids,Full,Slim Fit,Striped,Local
109,Western,Formal Suit,Men,Monsoon,Party,Nylon,Blue,Low,Teens,Full,Slim Fit,Striped,Adidas
110,Western,T-Shirt,Men,Winter,Casual,Cotton,Black,Low,Kids,Sleeveless,Slim Fit,Printed,FabIndia
111,Traditional,Kurti,Women,Winter,Festive,Silk,Yellow,Medium,Adults,Sleeveless,Slim Fit,Striped,H&M
112,Seasonal,Hoodie,Unisex,Winter,Casual,Wool,Pink,Low,Kids,Sleeveless,Slim Fit,Solid,H&M
113,Traditional,Saree,Women,Monsoon,Festive,Nylon,Grey,Medium,Teens,Half,Loose Fit,Embroidered,Adidas
114,Seasonal,Hoodie,Unisex,Monsoon,Casual,Linen,Yellow,High,Kids,Full,Slim Fit,Striped,Adidas
115,Seasonal,Jacket,Unisex,Summer,Travel,Cotton,Yellow,High,Seniors,Sleeveless,Slim Fit,Solid,FabIndia
116,Seasonal,Hoodie,Unisex,Winter,Casual,Denim,White,Low,Adults,Sleeveless,Regular Fit,Checked,H&M
117,Western,Jeans,Unisex,Summer,Casual,Cotton,Pink,Low,Seniors,Full,Loose Fit,Solid,Nike
118,Traditional,Lehenga,Women,Winter,Wedding,Denim,Yellow,Low,Teens,Full,Slim Fit,Embroidered,Adidas
119,Traditional,Lehenga,Women,Summer,Wedding,Polyester,Green,High,Adults,Sleeveless,Slim Fit,Checked,Local
120,Western,T-Shirt,Men,Winter,Casual,Denim,Yellow,High,Seniors,Half,Regular Fit,Solid,H&M
121,Seasonal,Raincoat,Unisex,Summer,Travel,Wool,Red,Medium,Seniors,Full,Loose Fit,Printed,Nike
122,Traditional,Sherwani,Men,Summer,Festive,Polyester,Red,High,Seniors,Full,Regular Fit,Printed,Adidas
123,Western,Formal Suit,Men,Winter,Party,Linen,Grey,Medium,Kids,Sleeveless,Regular Fit,Printed,Levi's
124,Traditional,Saree,Women,Monsoon,Festive,Nylon,Green,Low,Teens,Full,Regular Fit,Solid,Adidas
125,Western,Formal Suit,Men,Winter,Party,Wool,Black,Low,Kids,Full,Slim Fit,Striped,H&M
126,Seasonal,Hoodie,Unisex,All,Casual,Silk,Blue,Low,Seniors,Half,Regular Fit,Striped,FabIndia
127,Western,Shirt,Men,Monsoon,Office,Polyester,Blue,Low,Kids,Half,Slim Fit,Checked,FabIndia
128,Western,Jeans,Unisex,Monsoon,Casual,Silk,Yellow,Medium,Seniors,Sleeveless,Loose Fit,Checked,Local
129,Seasonal,Raincoat,Unisex,Summer,Travel,Polyester,Red,Low,Seniors,Half,Loose Fit,Embroidered,Levi's
130,Western,T-Shirt,Men,Winter,Casual,Nylon,Blue,Low,Kids,Sleeveless,Regular Fit,Checked,H&M
131,Seasonal,Raincoat,Unisex,Monsoon,Travel,Wool,Grey,Medium,Kids,Half,Regular Fit,Embroidered,Local
132,Western,Formal Suit,Men,Winter,Party,Wool,Green,Medium,Kids,Sleeveless,Regular Fit,Checked,Nike
133,Seasonal,Hoodie,Unisex,Summer,Casual,Cotton,Blue,Low,Teens,Sleeveless,Loose Fit,Striped,Levi's
134,Western,T-Shirt,Men,All,Casual,Cotton,Blue,Medium,Kids,Half,Loose Fit,Solid,Local
135,Traditional,Sherwani,Men,Winter,Festive,Wool,Grey,High,Kids,Sleeveless,Slim Fit,Embroidered,Nike
136,Seasonal,Jacket,Unisex,Summer,Travel,Polyester,Green,High,Adults,Full,Loose Fit,Striped,Levi's
137,Traditional,Lehenga,Women,Monsoon,Wedding,Denim,Yellow,High,Teens,Full,Slim Fit,Solid,Nike
138,Traditional,Kurta Pajama,Men,Summer,Casual,Silk,Pink,Low,Kids,Half,Loose Fit,Striped,Levi's
139,Traditional,Kurta Pajama,Men,Winter,Casual,Wool,Red,Low,Kids,Full,Regular Fit,Checked,Levi's
140,Traditional,Sherwani,Men,Winter,Festive,Wool,Pink,Low,Kids,Full,Regular Fit,Checked,Levi's
141,Traditional,Lehenga,Women,Winter,Wedding,Polyester,Blue,Medium,Adults,Sleeveless,Regular Fit,Printed,Nike
142,Western,Jeans,Unisex,Winter,Casual,Linen,Yellow,Medium,Kids,Full,Loose Fit,Striped,H&M
143,Western,Shirt,Men,Monsoon,Office,Wool,Green,Low,Kids,Half,Regular Fit,Printed,Local
144,Traditional,Kurta Pajama,Men,Monsoon,Casual,Polyester,Red,High,Teens,Sleeveless,Regular Fit,Striped,Adidas
145,Traditional,Lehenga,Women,Summer,Wedding,Polyester,Yellow,Medium,Kids,Full,Regular Fit,Checked,Zara
146,Seasonal,Hoodie,Unisex,Monsoon,Casual,Nylon,Red,Medium,Teens,Half,Loose Fit,Checked,H&M
147,Western,Shirt,Men,Winter,Office,Nylon,Red,High,Teens,Half,Slim Fit,Solid,FabIndia
148,Traditional,Salwar Kameez,Women,Summer,Office,Wool,Blue,Medium,Seniors,Half,Loose Fit,Solid,FabIndia
149,Seasonal,Raincoat,Unisex,Winter,Travel,Polyester,Yellow,Low,Adults,Sleeveless,Loose Fit,Solid,H&M
150,Seasonal,Raincoat,Unisex,Summer,Travel,Cotton,Green,High,Seniors,Half,Slim Fit,Printed,Nike
151,Traditional,Saree,Women,All,Festive,Wool,Blue,Medium,Seniors,Sleeveless,Slim Fit,Printed,Levi's
152,Western,Jeans,Unisex,Summer,Casual,Linen,Black,Medium,Adults,Sleeveless,Regular Fit,Printed,Adidas
153,Seasonal,Jacket,Unisex,Winter,Travel,Linen,White,Medium,Adults,Sleeveless,Loose Fit,Striped,Zara
154,Traditional,Kurti,Women,Winter,Festive,Denim,Red,Medium,Seniors,Sleeveless,Loose Fit,Checked,Local
155,Western,Formal Suit,Men,Summer,Party,Linen,Blue,High,Teens,Sleeveless,Slim Fit,Solid,Zara
156,Traditional,Saree,Women,Monsoon,Festive,Silk,Yellow,High,Adults,Full,Slim Fit,Solid,Levi's
157,Western,Formal Suit,Men,Monsoon,Party,Silk,Red,Medium,Kids,Sleeveless,Slim Fit,Striped,Local
158,Traditional,Kurti,Women,Summer,Festive,Denim,Red,Medium,Teens,Full,Regular Fit,Printed,Local
159,Traditional,Kurta Pajama,Men,Monsoon,Casual,Wool,Yellow,Medium,Seniors,Full,Loose Fit,Printed,Levi's
160,Traditional,Lehenga,Women,Winter,Wedding,Silk,Pink,Medium,Seniors,Full,Regular Fit,Solid,Nike
161,Western,Formal Suit,Men,Winter,Party,Silk,Pink,Low,Teens,Full,Slim Fit,Embroidered,H&M
162,Traditional,Lehenga,Women,Summer,Wedding,Cotton,Red,Low,Teens,Sleeveless,Slim Fit,Checked,Adidas
163,Traditional,Salwar Kameez,Women,Summer,Office,Wool,Blue,Low,Seniors,Sleeveless,Slim Fit,Embroidered,Nike
164,Western,Jeans,Unisex,All,Casual,Wool,Red,Low,Teens,Sleeveless,Regular Fit,Checked,Zara
165,Western,Formal Suit,Men,All,Party,Denim,Black,Low,Adults,Sleeveless,Loose Fit,Embroidered,Local
166,Western,Shirt,Men,Summer,Office,Nylon,Blue,Medium,Teens,Full,Slim Fit,Embroidered,Levi's
167,Traditional,Saree,Women,All,Festive,Linen,Yellow,High,Adults,Half,Regular Fit,Embroidered,H&M
168,Western,Formal Suit,Men,Winter,Party,Wool,Yellow,High,Adults,Sleeveless,Slim Fit,Printed,FabIndia
169,Seasonal,Jacket,Unisex,Monsoon,Travel,Wool,Grey,High,Teens,Full,Regular Fit,Embroidered,Zara
170,Traditional,Kurti,Women,Monsoon,Festive,Denim,Grey,Medium,Kids,Half,Regular Fit,Solid,Local
171,Traditional,Kurta Pajama,Men,Winter,Casual,Linen,Black,Medium,Teens,Full,Slim Fit,Solid,Adidas
172,Western,T-Shirt,Men,Winter,Casual,Wool,Blue,High,Adults,Full,Loose Fit,Printed,Adidas
173,Western,Jeans,Unisex,Summer,Casual,Nylon,White,Low,Kids,Half,Regular Fit,Solid,Levi's
174,Traditional,Saree,Women,Summer,Festive,Linen,Red,Low,Adults,Full,Slim Fit,Embroidered,Levi's
175,Traditional,Lehenga,Women,Winter,Wedding,Denim,Pink,High,Adults,Full,Regular Fit,Printed,Local
176,Western,Formal Suit,Men,Monsoon,Party,Wool,Green,High,Kids,Full,Regular Fit,Solid,Levi's
177,Western,Jeans,Unisex,Winter,Casual,Silk,White,Medium,Kids,Sleeveless,Loose Fit,Printed,Levi's
178,Seasonal,Raincoat,Unisex,Monsoon,Travel,Denim,Yellow,Low,Adults,Full,Regular Fit,Embroidered,Local
179,Seasonal,Raincoat,Unisex,Winter,Travel,Silk,Red,High,Seniors,Half,Slim Fit,Checked,Zara
180,Traditional,Saree,Women,Winter,Festive,Polyester,Green,Low,Seniors,Sleeveless,Loose Fit,Printed,Zara
181,Western,Formal Suit,Men,Monsoon,Party,Wool,Yellow,High,Seniors,Sleeveless,Slim Fit,Solid,FabIndia
182,Traditional,Kurti,Women,All,Festive,Denim,Pink,High,Seniors,Full,Regular Fit,Solid,Local
183,Traditional,Kurti,Women,Winter,Festive,Polyester,Blue,Low,Seniors,Full,Loose Fit,Checked,Levi's
184,Traditional,Lehenga,Women,Summer,Wedding,Wool,Grey,Medium,Seniors,Sleeveless,Regular Fit,Embroidered,Local
185,Seasonal,Raincoat,Unisex,Monsoon,Travel,Silk,Pink,High,Seniors,Full,Slim Fit,Solid,H&M
186,Western,Shirt,Men,Summer,Office,Silk,White,Medium,Adults,Sleeveless,Slim Fit,Solid,Adidas
187,Traditional,Saree,Women,Summer,Festive,Nylon,Blue,Low,Teens,Full,Regular Fit,Striped,FabIndia
188,Western,Formal Suit,Men,Summer,Party,Polyester,Blue,High,Teens,Sleeveless,Slim Fit,Striped,Levi's
189,Seasonal,Raincoat,Unisex,Monsoon,Travel,Silk,Blue,Low,Seniors,Half,Slim Fit,Embroidered,Nike
190,Western,T-Shirt,Men,Summer,Casual,Nylon,White,Medium,Teens,Full,Loose Fit,Solid,Adidas
191,Western,Jeans,Unisex,All,Casual,Denim,Blue,Low,Adults,Sleeveless,Slim Fit,Checked,Local
192,Western,Shirt,Men,Winter,Office,Cotton,White,Low,Kids,Sleeveless,Slim Fit,Printed,Nike
193,Traditional,Sherwani,Men,All,Festive,Silk,White,Low,Teens,Sleeveless,Regular Fit,Checked,Nike
194,Western,T-Shirt,Men,All,Casual,Cotton,Red,Low,Adults,Sleeveless,Loose Fit,Solid,Local
195,Seasonal,Raincoat,Unisex,Winter,Travel,Nylon,Yellow,Low,Teens,Sleeveless,Loose Fit,Printed,Nike
196,Seasonal,Jacket,Unisex,Winter,Travel,Cotton,Red,Medium,Adults,Sleeveless,Slim Fit,Striped,Levi's
197,Western,T-Shirt,Men,Monsoon,Casual,Wool,Grey,Medium,Seniors,Sleeveless,Loose Fit,Embroidered,Local
198,Traditional,Sherwani,Men,All,Festive,Nylon,Black,Medium,Teens,Full,Loose Fit,Solid,FabIndia
199,Seasonal,Jacket,Unisex,Summer,Travel,Silk,Blue,High,Teens,Sleeveless,Loose Fit,Striped,FabIndia
200,Traditional,Kurti,Women,Monsoon,Festive,Linen,White,High,Teens,Full,Regular Fit,Printed,H&M
201,Traditional,Sherwani,Men,Winter,Festive,Nylon,Black,High,Seniors,Full,Regular Fit,Printed,FabIndia
202,Traditional,Sherwani,Men,Summer,Festive,Cotton,Yellow,Low,Seniors,Half,Slim Fit,Embroidered,Zara
203,Traditional,Salwar Kameez,Women,All,Office,Cotton,Black,Medium,Seniors,Sleeveless,Loose Fit,Solid,Adidas
204,Seasonal,Raincoat,Unisex,Monsoon,Travel,Nylon,White,High,Teens,Sleeveless,Regular Fit,Solid,H&M
205,Traditional,Lehenga,Women,Winter,Wedding,Nylon,Black,High,Seniors,Full,Regular Fit,Striped,Zara
206,Traditional,Saree,Women,Winter,Festive,Linen,Yellow,Medium,Teens,Half,Loose Fit,Printed,Local
207,Seasonal,Jacket,Unisex,Monsoon,Travel,Linen,Green,Low,Adults,Half,Regular Fit,Printed,Nike
208,Traditional,Saree,Women,Winter,Festive,Nylon,Black,Low,Teens,Full,Regular Fit,Solid,Adidas
209,Seasonal,Raincoat,Unisex,Summer,Travel,Cotton,Pink,Low,Kids,Half,Loose Fit,Solid,Local
210,Traditional,Kurti,Women,All,Festive,Cotton,Yellow,Medium,Teens,Half,Slim Fit,Embroidered,Zara
211,Western,Shirt,Men,Summer,Office,Wool,Red,High,Seniors,Half,Loose Fit,Checked,Zara
212,Western,Shirt,Men,Monsoon,Office,Linen,Green,High,Adults,Sleeveless,Loose Fit,Striped,Local
213,Western,Jeans,Unisex,Winter,Casual,Wool,Blue,High,Seniors,Sleeveless,Regular Fit,Printed,Adidas
214,Seasonal,Jacket,Unisex,Summer,Travel,Denim,Grey,High,Kids,Full,Regular Fit,Printed,Nike
215,Western,Formal Suit,Men,Summer,Party,Nylon,Pink,Low,Kids,Full,Regular Fit,Striped,Local
216,Western,Shirt,Men,Monsoon,Office,Polyester,White,Low,Kids,Half,Loose Fit,Striped,Zara
217,Traditional,Salwar Kameez,Women,Monsoon,Office,Linen,Grey,Medium,Adults,Sleeveless,Slim Fit,Checked,Local
218,Traditional,Salwar Kameez,Women,Winter,Office,Linen,Grey,Medium,Teens,Sleeveless,Slim Fit,Printed,Nike
219,Traditional,Saree,Women,Winter,Festive,Cotton,Grey,High,Teens,Half,Slim Fit,Printed,H&M
220,Traditional,Kurti,Women,Winter,Festive,Nylon,Grey,Medium,Adults,Sleeveless,Regular Fit,Solid,Local
221,Seasonal,Hoodie,Unisex,Summer,Casual,Silk,Blue,Medium,Seniors,Sleeveless,Loose Fit,Checked,Nike
222,Western,Jeans,Unisex,Winter,Casual,Wool,Red,High,Kids,Full,Loose Fit,Striped,Adidas
223,Western,Formal Suit,Men,Winter,Party,Polyester,Blue,Low,Adults,Full,Regular Fit,Checked,Levi's
224,Seasonal,Raincoat,Unisex,Monsoon,Travel,Cotton,Black,High,Seniors,Full,Regular Fit,Solid,Adidas
225,Western,Jeans,Unisex,Monsoon,Casual,Silk,Green,High,Kids,Full,Slim Fit,Checked,H&M
226,Western,Formal Suit,Men,All,Party,Cotton,Red,High,Teens,Half,Regular Fit,Printed,FabIndia
227,Traditional,Kurta Pajama,Men,Monsoon,Casual,Nylon,Blue,Low,Adults,Full,Slim Fit,Striped,Local
228,Traditional,Kurti,Women,Winter,Festive,Polyester,Green,Low,Adults,Sleeveless,Slim Fit,Solid,Levi's
229,Traditional,Kurti,Women,Monsoon,Festive,Polyester,Red,High,Adults,Half,Loose Fit,Solid,Adidas
230,Western,Jeans,Unisex,All,Casual,Silk,Blue,Medium,Adults,Sleeveless,Loose Fit,Embroidered,Levi's
231,Seasonal,Raincoat,Unisex,Monsoon,Travel,Wool,Yellow,Medium,Kids,Sleeveless,Slim Fit,Solid,Adidas
232,Western,Jeans,Unisex,Summer,Casual,Cotton,Grey,Low,Adults,Sleeveless,Loose Fit,Solid,Nike
233,Western,Formal Suit,Men,Monsoon,Party,Wool,Red,Low,Adults,Sleeveless,Slim Fit,Striped,FabIndia
